날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20170228,에프알텍(A073540),매도,3620,1013,날짜지나 매도 : 20170224 ~ 20170228 설정가격매도,-7.41687979539642%
20170303,아남전자(A008700),매수,1720,2247,매수로직 매수 - (매수가) 우선순위 : 1,-
20170306,KNN(A058400),매수,1360,2918,매수로직 매수 - (매수가) 우선순위 : 1,-
20170307,아남전자(A008700),매도,1900,2247,날짜지나 매도 : 20170303 ~ 20170307 설정가격매도,10.465116279069768%
20170307,KNN(A058400),매도,1565,2918.0,목표가매도,15.073529411764705%
20170308,KD건설(A044180),매수,415,10137.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170310,DSR제강(A069730),매수,16700,255,매수로직 매수 - (매수가) 우선순위 : 1,-
20170310,DSR제강(A069730),매도,19250,255,당일목표가매도,15.269461077844312%
20170310,우성사료(A006980),매수,4300,964,매수로직 매수 - (매수가) 우선순위 : 2,-
20170310,우성사료(A006980),매도,5000,964,당일목표가매도,16.27906976744186%
20170310,KD건설(A044180),매도,431,10137,날짜지나 매도 : 20170308 ~ 20170310 설정가격매도,3.8554216867469884%
20170313,케이씨에스(A115500),매수,7950,586,매수로직 매수 - (매수가) 우선순위 : 1,-
20170313,KD건설(A044180),매수,484,9664.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170313,세우글로벌(A013000),매수,3555,1304,매수로직 매수 - (매수가) 우선순위 : 3,-
20170314,세우글로벌(A013000),매도,4089,1304.0,목표가매도,15.021097046413502%
20170315,티에스인베스트먼트(A246690),매수,5770,846,매수로직 매수 - (매수가) 우선순위 : 1,-
20170315,케이씨에스(A115500),매도,8770,586,날짜지나 매도 : 20170313 ~ 20170315 설정가격매도,10.314465408805033%
20170315,KD건설(A044180),매도,439,9664,날짜지나 매도 : 20170313 ~ 20170315 설정가격매도,-9.297520661157025%
20170316,티에스인베스트먼트(A246690),매도,6690,846.0,목표가매도,15.944540727902945%
20170322,모헨즈(A006920),매수,6110,843,매수로직 매수 - (매수가) 우선순위 : 1,-
20170322,하이소닉(A106080),매수,4620,1115,매수로직 매수 - (매수가) 우선순위 : 2,-
20170323,서울제약(A018680),매수,13100,389,매수로직 매수 - (매수가) 우선순위 : 1,-
20170324,모헨즈(A006920),매도,5970,843,날짜지나 매도 : 20170322 ~ 20170324 설정가격매도,-2.2913256955810146%
20170324,하이소닉(A106080),매도,4610,1115,날짜지나 매도 : 20170322 ~ 20170324 설정가격매도,-0.21645021645021645%
20170327,서울제약(A018680),매도,11900,389,날짜지나 매도 : 20170323 ~ 20170327 설정가격매도,-9.16030534351145%
20170328,이화공영(A001840),매수,6190,798.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170328,다믈멀티미디어(A093640),매수,7300,640,매수로직 매수 - (매수가) 우선순위 : 3,-
20170328,다믈멀티미디어(A093640),매도,8400,640,당일목표가매도,15.068493150684931%
20170329,우리들제약(A004720),매수,24050,217,매수로직 매수 - (매수가) 우선순위 : 1,-
20170329,넥스트칩(A092600),매수,11850,441.0,매수로직 매수 - (매수가) 우선순위 : 2,-
20170330,이화공영(A001840),매도,6740,798.0,날짜지나 매도 : 20170328 ~ 20170330 설정가격매도,8.88529886914378%
20170330,우리들제약(A004720),매도,28500,217.0,목표가매도,18.503118503118504%
20170331,태원물산(A001420),매수,8050,691,매수로직 매수 - (매수가) 우선순위 : 1,-
20170331,태원물산(A001420),매도,9285,691,당일목표가매도,15.341614906832298%
20170331,넥스트칩(A092600),매도,11550,441.0,날짜지나 매도 : 20170329 ~ 20170331 설정가격매도,-2.5316455696202533%
20170403,이화공영(A001840),매수,7860,742,매수로직 매수 - (매수가) 우선순위 : 1,-
20170404,인콘(A083640),매수,797,7434.0,매수로직 매수 - (매수가) 우선순위 : 1,-
20170404,인콘(A083640),매도,915,7434.0,당일목표가매도,14.805520702634881%
20170404,에이치엘비생명과학(A067630),매수,8102,732,매수로직 매수 - (매수가) 우선순위 : 2,-
20170404,이화공영(A001840),매도,9071,742.0,목표가매도,15.407124681933842%
20170405,모바일리더(A100030),매수,15450,412,매수로직 매수 - (매수가) 우선순위 : 1,-
20170405,솔트웍스(A230980),매수,5300,1212,매수로직 매수 - (매수가) 우선순위 : 2,-
20170405,솔트웍스(A230980),매도,6100,1212,당일목표가매도,15.09433962264151%
20170407,에이치엘비생명과학(A067630),매도,8234,732,날짜지나 매도 : 20170404 ~ 20170407 설정가격매도,1.629227351271291%
20170407,모바일리더(A100030),매도,16500,412,날짜지나 매도 : 20170405 ~ 20170407 설정가격매도,6.796116504854369%
20170410,디에스티로봇(A090710),매수,2480,2769,매수로직 매수 - (매수가) 우선순위 : 1,-
20170410,이에스브이(A223310),매수,3310,2075,매수로직 매수 - (매수가) 우선순위 : 2,-
20170410,미동앤씨네마(A161570),매수,9020,761.0,매수로직 매수 - (매수가) 우선순위 : 3,-
20170411,디에스티로봇(A090710),매도,2851,2769.0,목표가매도,14.959677419354838%
20170412,이에스브이(A223310),매도,2980,2075.0,날짜지나 매도 : 20170410 ~ 20170412 설정가격매도,-9.969788519637463%
