날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20170104,바이오로그디바이스(A208710),매수,3055,466,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170105,퓨쳐스트림네트웍스(A214270),매수,2580,552,매수로직 매수 - (돌파(전일종가)) 우선순위 : 2,-
20170106,이엠넷(A123570),매수,3380,420,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170106,바이오로그디바이스(A208710),매도,3050,466,날짜지나 매도 : 20170104 ~ 20170106 설정가격매도,-0.16366612111292964%
20170109,퓨쳐스트림네트웍스(A214270),매도,2740,552,날짜지나 매도 : 20170105 ~ 20170109 설정가격매도,6.2015503875969%
20170110,와이비엠넷(A057030),매수,12350,116.0,매수로직 매수 - (돌파(전일종가)) 우선순위 : 2,-
20170110,능률교육(A053290),매수,7390,194,매수로직 매수 - (돌파(전일종가)) 우선순위 : 3,-
20170110,이엠넷(A123570),매도,3455,420,날짜지나 매도 : 20170106 ~ 20170110 설정가격매도,2.2189349112426036%
20170111,세종텔레콤(A036630),매수,966,1487.0,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170111,에스코넥(A096630),매수,3035,475,매수로직 매수 - (돌파(전일종가)) 우선순위 : 2,-
20170112,와이비엠넷(A057030),매도,11850,116,날짜지나 매도 : 20170110 ~ 20170112 설정가격매도,-4.048582995951417%
20170112,능률교육(A053290),매도,7480,194.0,날짜지나 매도 : 20170110 ~ 20170112 설정가격매도,1.2178619756427604%
20170112,세종텔레콤(A036630),매도,869,1487.0,손절가매도,-10.041407867494824%
20170113,한국팩키지(A037230),매수,4820,295,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170113,에스코넥(A096630),매도,3210,475.0,날짜지나 매도 : 20170111 ~ 20170113 설정가격매도,5.766062602965404%
20170116,오리엔탈정공(A014940),매수,2820,501,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170116,DSR(A155660),매수,10200,138,매수로직 매수 - (돌파(전일종가)) 우선순위 : 5,-
20170116,DSR(A155660),매도,11381,138,당일목표가매도,11.57843137254902%
20170117,동양물산(A002900),매수,4660,305,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170117,한국팩키지(A037230),매도,4440,295,날짜지나 매도 : 20170113 ~ 20170117 설정가격매도,-7.883817427385892%
20170118,흥아해운(A003280),매수,1875,752,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170118,태원물산(A001420),매수,5870,243,매수로직 매수 - (돌파(전일종가)) 우선순위 : 2,-
20170118,오리엔탈정공(A014940),매도,2785,501,날짜지나 매도 : 20170116 ~ 20170118 설정가격매도,-1.2411347517730498%
20170119,동양물산(A002900),매도,4580,305,날짜지나 매도 : 20170117 ~ 20170119 설정가격매도,-1.7167381974248928%
20170120,오성엘에스티(A052420),매수,12164,117.0,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170120,오리콤(A010470),매수,7020,203,매수로직 매수 - (돌파(전일종가)) 우선순위 : 3,-
20170120,흥아해운(A003280),매도,1950,752,날짜지나 매도 : 20170118 ~ 20170120 설정가격매도,4.0%
20170120,태원물산(A001420),매도,6100,243,날짜지나 매도 : 20170118 ~ 20170120 설정가격매도,3.9182282793867125%
20170123,오성엘에스티(A052420),매도,13605,117.0,목표가매도,11.846432094705689%
20170124,서산(A079650),매수,8410,173,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170124,위즈코프(A038620),매수,2342,622,매수로직 매수 - (돌파(전일종가)) 우선순위 : 2,-
20170124,필룩스(A033180),매수,3988,365.0,매수로직 매수 - (돌파(전일종가)) 우선순위 : 3,-
20170124,케이씨에스(A115500),매수,7820,186.0,매수로직 매수 - (돌파(전일종가)) 우선순위 : 4,-
20170124,케이씨에스(A115500),매도,7030,186.0,당일손절가매도,-10.10230179028133%
20170124,경봉(A139050),매수,3075,460,매수로직 매수 - (돌파(전일종가)) 우선순위 : 5,-
20170124,오리콤(A010470),매도,7590,203,날짜지나 매도 : 20170120 ~ 20170124 설정가격매도,8.11965811965812%
20170125,다날(A064260),매수,4933,289,매수로직 매수 - (돌파(전일종가)) 우선순위 : 2,-
20170125,서산(A079650),매도,7530,173.0,손절가매도,-10.46373365041617%
20170125,경봉(A139050),매도,2770,460.0,손절가매도,-9.91869918699187%
20170126,한빛소프트(A047080),매수,6560,212,매수로직 매수 - (돌파(전일종가)) 우선순위 : 2,-
20170126,한빛소프트(A047080),매도,5910,212,당일손절가매도,-9.908536585365853%
20170126,디젠스(A113810),매수,2245,621.0,매수로직 매수 - (돌파(전일종가)) 우선순위 : 3,-
20170126,위즈코프(A038620),매도,2512,622,날짜지나 매도 : 20170124 ~ 20170126 설정가격매도,7.2587532023911185%
20170126,필룩스(A033180),매도,4022,365,날짜지나 매도 : 20170124 ~ 20170126 설정가격매도,0.8525576730190572%
20170131,디비케이(A073190),매수,4035,344.0,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
20170131,다날(A064260),매도,4618,289,날짜지나 매도 : 20170125 ~ 20170131 설정가격매도,-6.38556659233732%
20170131,디젠스(A113810),매도,2510,621.0,목표가매도,11.804008908685969%
20170201,인터엠(A017250),매수,5840,240,매수로직 매수 - (돌파(전일종가)) 우선순위 : 1,-
