날짜,종목명,주문,매매가격(원),수량(주),사유,수익률
20100225,대아티아이(A045390),매도,3535,757,날짜지나 매도 (전일종가) : 2010/02/23 ~ 2010/02/25 ,1.0%
20100226,케이피엠테크(A042040),매수,775,3292,매수로직 매수 - (매수가)  우선순위 : 1,-
20100226,인팩(A023810),매수,3400,750,매수로직 매수 - (매수가)  우선순위 : 2,-
20100226,기산텔레콤(A035460),매도,4980,483,날짜지나 매도 (전일종가) : 2010/02/24 ~ 2010/02/26 ,-9.289617486338798%
20100302,이원컴포텍(A088290),매수,1945,1323,매수로직 매수 - (매수가)  우선순위 : 1,-
20100303,케이피엠테크(A042040),매도,833,3292,날짜지나 매도 (전일종가) : 2010/02/26 ~ 2010/03/03 ,7.483870967741936%
20100303,인팩(A023810),매도,3480,750,날짜지나 매도 (전일종가) : 2010/02/26 ~ 2010/03/03 ,2.3529411764705883%
20100304,이원컴포텍(A088290),매도,1787,1323,날짜지나 매도 (전일종가) : 2010/03/02 ~ 2010/03/04 ,-8.123393316195372%
20100305,케이엘넷(A039420),매수,5050,509,매수로직 매수 - (매수가)  우선순위 : 1,-
20100309,유라테크(A048430),매수,4610,553,매수로직 매수 - (매수가)  우선순위 : 1,-
20100309,케이엘넷(A039420),매도,5000,509,날짜지나 매도 (전일종가) : 2010/03/05 ~ 2010/03/09 ,-0.9900990099009901%
20100310,에너토크(A019990),매수,12900,199,매수로직 매수 - (매수가)  우선순위 : 1,-
20100311,세명전기(A017510),매수,8020,328,매수로직 매수 - (매수가)  우선순위 : 1,-
20100311,유라테크(A048430),매도,4655,553,날짜지나 매도 (전일종가) : 2010/03/09 ~ 2010/03/11 ,0.9761388286334056%
20100311,에너토크(A019990),매도,14974,199,목표가 시초가 매도,16.07751937984496%
20100312,세명전기(A017510),매도,9230,328,목표가 매도,15.087281795511224%
20100315,인팩(A023810),매수,3495,808,매수로직 매수 - (매수가)  우선순위 : 1,-
20100316,옴니시스템(A057540),매수,4520,625,매수로직 매수 - (시초가)  우선순위 : 2,-
20100317,한국정보통신(A025770),매수,3920,709,매수로직 매수 - (매수가)  우선순위 : 1,-
20100317,인팩(A023810),매도,3520,808,날짜지나 매도 (전일종가) : 2010/03/15 ~ 2010/03/17 ,0.7153075822603719%
20100318,옴니시스템(A057540),매도,4255,625,날짜지나 매도 (전일종가) : 2010/03/16 ~ 2010/03/18 ,-5.8628318584070795%
20100319,인포피아(A036220),매수,18900,147,매수로직 매수 - (시초가)  우선순위 : 1,-
20100319,한국정보통신(A025770),매도,4045,709,날짜지나 매도 (전일종가) : 2010/03/17 ~ 2010/03/19 ,3.188775510204082%
20100322,W홀딩컴퍼니(A052300),매수,3010,913,매수로직 매수 - (매수가)  우선순위 : 1,-
20100323,인포피아(A036220),매도,18650,147,날짜지나 매도 (전일종가) : 2010/03/19 ~ 2010/03/23 ,-1.3227513227513228%
20100324,이루온(A065440),매수,2950,935,매수로직 매수 - (매수가)  우선순위 : 1,-
20100324,W홀딩컴퍼니(A052300),매도,2935,913,날짜지나 매도 (전일종가) : 2010/03/22 ~ 2010/03/24 ,-2.4916943521594686%
20100325,이루온(A065440),매도,2360,935,손절가 매도,-20.0%
20100329,대호에이엘(A069460),매수,1985,1297,매수로직 매수 - (매수가)  우선순위 : 1,-
20100330,빅텍(A065450),매수,5200,496,매수로직 매수 - (매수가)  우선순위 : 1,-
20100331,한국정보통신(A025770),매수,4030,637,매수로직 매수 - (매수가)  우선순위 : 1,-
20100331,대호에이엘(A069460),매도,2105,1297,날짜지나 매도 (전일종가) : 2010/03/29 ~ 2010/03/31 ,6.045340050377834%
20100401,빅텍(A065450),매도,5310,496,날짜지나 매도 (전일종가) : 2010/03/30 ~ 2010/04/01 ,2.1153846153846154%
20100402,뉴프렉스(A085670),매수,4280,604,매수로직 매수 - (매수가)  우선순위 : 2,-
20100402,한국정보통신(A025770),매도,3840,637,날짜지나 매도 (전일종가) : 2010/03/31 ~ 2010/04/02 ,-4.714640198511166%
20100405,KB오토시스(A024120),매수,17600,147,매수로직 매수 - (매수가)  우선순위 : 2,-
20100406,뉴프렉스(A085670),매도,4506,604,날짜지나 매도 (전일종가) : 2010/04/02 ~ 2010/04/06 ,5.280373831775701%
20100407,KB오토시스(A024120),매도,22000,147,날짜지나 매도 (전일종가) : 2010/04/05 ~ 2010/04/07 ,25.0%
20100408,백금T&A(A046310),매수,3425,830,매수로직 매수 - (매수가)  우선순위 : 1,-
20100412,백금T&A(A046310),매도,2924,830,날짜지나 매도 (전일종가) : 2010/04/08 ~ 2010/04/12 ,-14.627737226277373%
20100413,대창(A012800),매수,1610,1681,매수로직 매수 - (매수가)  우선순위 : 2,-
20100414,삼보산업(A009620),매수,22600,121,매수로직 매수 - (매수가)  우선순위 : 1,-
20100414,빅텍(A065450),매수,5070,543,매수로직 매수 - (매수가)  우선순위 : 2,-
20100414,대창(A012800),매도,1855,1681,목표가 매도,15.217391304347828%
20100415,삼보산업(A009620),매도,18050,121,손절가 매도,-20.13274336283186%
20100416,빅텍(A065450),매도,5590,543,날짜지나 매도 (전일종가) : 2010/04/14 ~ 2010/04/16 ,10.256410256410255%
20100419,대창(A012800),매수,2495,1100,매수로직 매수 - (매수가)  우선순위 : 3,-
20100420,CJ씨푸드(A011150),매수,2995,971,매수로직 매수 - (매수가)  우선순위 : 1,-
20100420,대창(A012800),매도,3150,1100,목표가 시초가 매도,26.252505010020037%
20100421,서연전자(A012860),매수,2570,1176,매수로직 매수 - (매수가)  우선순위 : 1,-
